# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   	rho                 	T                   
0                   	N/A	N/A	N/A	N/A
0.005               	1.108262475269e-01	1.108243183010e-01	8.139029156284e-02	3.586553935935e-01	0.000000000000e+00	N/A
0.01                	3.111987778903e-02	3.111436259458e-02	1.319901336837e-01	2.613991962035e-02	0.000000000000e+00	N/A
